method,seed,side,C,source_kind,source_run,raw_steered_source,effect,off_axis_perturbation,steered_off_axis,health_clean,accepted
J_word,0,-C,0.22272467953508485,historical_bracket,outputs/run_20260828T020443_J_word_s0_c0p22272467953508485/J_word.json,outputs/run_20260828T020443_J_word_s0_c0p22272467953508485/moral_demos.jsonl,0.02325000000000002,0.0865,0.928,True,True
J_word,0,-C,0.25,historical_bracket,outputs/run_20260828T020532_J_word_s0_c0p25/J_word.json,outputs/run_20260828T020532_J_word_s0_c0p25/moral_demos.jsonl,-0.18849999999999997,0.2405,1.065,True,True
J_word,0,-C,0.28061551207734325,historical_bracket,outputs/run_20260828T020655_J_word_s0_c0p28061551207734325/J_word.json,outputs/run_20260828T020655_J_word_s0_c0p28061551207734325/moral_demos.jsonl,-0.33999999999999997,0.46275,1.375,True,True
mean_diff,0,+C,0.5,continuation_certificate,outputs/run_20260828T095357_mean_diff_s0_+c0p5/mean_diff.json,outputs/run_20260828T095357_mean_diff_s0_+c0p5/moral_demos.jsonl,2.6175,0.188,0.6455,True,True
mean_diff,0,+C,0.5612310241546865,continuation_certificate,outputs/run_20260828T095413_mean_diff_s0_+c0p5612310241546865/mean_diff.json,outputs/run_20260828T095413_mean_diff_s0_+c0p5612310241546865/moral_demos.jsonl,2.87375,0.23075,0.69625,True,True
mean_diff,0,+C,0.6299605249474366,continuation_certificate,outputs/run_20260828T095431_mean_diff_s0_+c0p6299605249474366/mean_diff.json,outputs/run_20260828T095431_mean_diff_s0_+c0p6299605249474366/moral_demos.jsonl,3.3449999999999998,0.27975,0.75775,True,True
mean_diff,0,+C,0.7071067811865476,continuation_certificate,outputs/run_20260828T095448_mean_diff_s0_+c0p7071067811865476/mean_diff.json,outputs/run_20260828T095448_mean_diff_s0_+c0p7071067811865476/moral_demos.jsonl,3.673,0.41575,0.9035,True,True
mean_diff,0,+C,0.7937005259840998,continuation_certificate,outputs/run_20260828T095505_mean_diff_s0_+c0p7937005259840998/mean_diff.json,outputs/run_20260828T095505_mean_diff_s0_+c0p7937005259840998/moral_demos.jsonl,4.04675,0.536,1.0365,True,True
mean_diff,0,+C,0.8908987181403393,continuation_certificate,outputs/run_20260828T095521_mean_diff_s0_+c0p8908987181403393/mean_diff.json,outputs/run_20260828T095521_mean_diff_s0_+c0p8908987181403393/moral_demos.jsonl,4.3465,0.62125,1.119,True,True
mean_diff,0,+C,1.0,continuation_certificate,outputs/run_20260828T095537_mean_diff_s0_+c1p0/mean_diff.json,outputs/run_20260828T095537_mean_diff_s0_+c1p0/moral_demos.jsonl,4.36475,0.8365,1.40025,True,True
mean_diff,0,+C,1.122462048309373,continuation_certificate,outputs/run_20260828T095553_mean_diff_s0_+c1p122462048309373/mean_diff.json,outputs/run_20260828T095553_mean_diff_s0_+c1p122462048309373/moral_demos.jsonl,4.4944999999999995,1.2015,1.768,True,False
mean_diff,0,+C,1.2599210498948732,continuation_certificate,outputs/run_20260828T095608_mean_diff_s0_+c1p2599210498948732/mean_diff.json,outputs/run_20260828T095608_mean_diff_s0_+c1p2599210498948732/moral_demos.jsonl,4.26075,1.488,2.11525,True,False
mean_diff,0,+C,1.4142135623730951,continuation_certificate,outputs/run_20260828T095624_mean_diff_s0_+c1p4142135623730951/mean_diff.json,outputs/run_20260828T095624_mean_diff_s0_+c1p4142135623730951/moral_demos.jsonl,3.76975,2.3002499999999997,2.85,True,False
mean_diff,0,+C,1.4293579100903953,continuation_certificate,outputs/run_20260828T095229_mean_diff_s0_+c1p4293579100903953/mean_diff.json,outputs/run_20260828T095229_mean_diff_s0_+c1p4293579100903953/moral_demos.jsonl,3.7335000000000003,2.3177499999999998,2.87725,True,False
mean_diff,0,-C,0.3535533905932738,historical_bracket,outputs/run_20260822T022816_mean_diff_s0_c0p3535533905932738/mean_diff.json,outputs/run_20260822T022816_mean_diff_s0_c0p3535533905932738/moral_demos.jsonl,0.9775,0.1065,0.76025,True,True
mean_diff,0,-C,0.3968502629920499,historical_bracket,outputs/run_20260821T223358_mean_diff_s0_c0p3968502629920499/mean_diff.json,outputs/run_20260821T223358_mean_diff_s0_c0p3968502629920499/moral_demos.jsonl,0.9835,0.1555,0.75,True,True
mean_diff,0,-C,0.44544935907016964,historical_bracket,outputs/run_20260821T223446_mean_diff_s0_c0p44544935907016964/mean_diff.json,outputs/run_20260821T223446_mean_diff_s0_c0p44544935907016964/moral_demos.jsonl,1.3255,0.223,0.7135,True,True
mean_diff,0,-C,0.5,historical_bracket,outputs/run_20260822T022925_mean_diff_s0_c0p5/mean_diff.json,outputs/run_20260822T022925_mean_diff_s0_c0p5/moral_demos.jsonl,1.174,0.21325,0.7765,True,True
mean_diff,0,-C,0.5612310241546865,historical_bracket,outputs/run_20260821T223537_mean_diff_s0_c0p5612310241546865/mean_diff.json,outputs/run_20260821T223537_mean_diff_s0_c0p5612310241546865/moral_demos.jsonl,1.17875,0.273,0.7272500000000001,True,True
mean_diff,0,-C,0.6299605249474366,historical_bracket,outputs/run_20260821T223626_mean_diff_s0_c0p6299605249474366/mean_diff.json,outputs/run_20260821T223626_mean_diff_s0_c0p6299605249474366/moral_demos.jsonl,1.51775,0.3205,0.776,True,True
mean_diff,0,-C,0.7071067811865476,historical_bracket,outputs/run_20260822T023035_mean_diff_s0_c0p7071067811865476/mean_diff.json,outputs/run_20260822T023035_mean_diff_s0_c0p7071067811865476/moral_demos.jsonl,1.34325,0.0032500000000000064,1.06125,True,True
mean_diff,0,-C,0.7937005259840998,historical_bracket,outputs/run_20260821T223717_mean_diff_s0_c0p7937005259840998/mean_diff.json,outputs/run_20260821T223717_mean_diff_s0_c0p7937005259840998/moral_demos.jsonl,1.1260000000000001,0.30325,1.39225,True,True
mean_diff,0,-C,0.8908987181403393,historical_bracket,outputs/run_20260821T223843_mean_diff_s0_c0p8908987181403393/mean_diff.json,outputs/run_20260821T223843_mean_diff_s0_c0p8908987181403393/moral_demos.jsonl,1.44625,0.43024999999999997,1.46975,True,True
mean_diff,0,-C,1.0,historical_bracket,outputs/run_20260822T023218_mean_diff_s0_c1p0/mean_diff.json,outputs/run_20260822T023218_mean_diff_s0_c1p0/moral_demos.jsonl,0.7417499999999999,1.51525,2.42825,True,False
mean_diff,1,+C,0.5,continuation_certificate,outputs/run_20260828T095358_mean_diff_s1_+c0p5/mean_diff.json,outputs/run_20260828T095358_mean_diff_s1_+c0p5/moral_demos.jsonl,2.57225,0.17625000000000002,0.635,True,True
mean_diff,1,+C,0.5612310241546865,continuation_certificate,outputs/run_20260828T095414_mean_diff_s1_+c0p5612310241546865/mean_diff.json,outputs/run_20260828T095414_mean_diff_s1_+c0p5612310241546865/moral_demos.jsonl,2.8865,0.232,0.69625,True,True
mean_diff,1,+C,0.6299605249474366,continuation_certificate,outputs/run_20260828T095431_mean_diff_s1_+c0p6299605249474366/mean_diff.json,outputs/run_20260828T095431_mean_diff_s1_+c0p6299605249474366/moral_demos.jsonl,3.41925,0.2715,0.766,True,True
mean_diff,1,+C,0.7071067811865476,continuation_certificate,outputs/run_20260828T095449_mean_diff_s1_+c0p7071067811865476/mean_diff.json,outputs/run_20260828T095449_mean_diff_s1_+c0p7071067811865476/moral_demos.jsonl,3.70125,0.41325,0.8865,True,True
mean_diff,1,+C,0.7937005259840998,continuation_certificate,outputs/run_20260828T095506_mean_diff_s1_+c0p7937005259840998/mean_diff.json,outputs/run_20260828T095506_mean_diff_s1_+c0p7937005259840998/moral_demos.jsonl,4.08775,0.5435,1.07475,True,True
mean_diff,1,+C,0.8908987181403393,continuation_certificate,outputs/run_20260828T095522_mean_diff_s1_+c0p8908987181403393/mean_diff.json,outputs/run_20260828T095522_mean_diff_s1_+c0p8908987181403393/moral_demos.jsonl,4.38125,0.5985,1.0855,True,True
mean_diff,1,+C,1.0,continuation_certificate,outputs/run_20260828T095538_mean_diff_s1_+c1p0/mean_diff.json,outputs/run_20260828T095538_mean_diff_s1_+c1p0/moral_demos.jsonl,4.3545,0.82825,1.40125,True,True
mean_diff,1,+C,1.122462048309373,continuation_certificate,outputs/run_20260828T095554_mean_diff_s1_+c1p122462048309373/mean_diff.json,outputs/run_20260828T095554_mean_diff_s1_+c1p122462048309373/moral_demos.jsonl,4.47125,1.1615,1.7325,True,False
mean_diff,1,+C,1.2599210498948732,continuation_certificate,outputs/run_20260828T095609_mean_diff_s1_+c1p2599210498948732/mean_diff.json,outputs/run_20260828T095609_mean_diff_s1_+c1p2599210498948732/moral_demos.jsonl,4.14275,1.48975,2.1165,True,False
mean_diff,1,+C,1.4142135623730951,continuation_certificate,outputs/run_20260828T095625_mean_diff_s1_+c1p4142135623730951/mean_diff.json,outputs/run_20260828T095625_mean_diff_s1_+c1p4142135623730951/moral_demos.jsonl,3.752,2.326,2.85975,True,False
mean_diff,1,+C,1.4293579100903953,continuation_certificate,outputs/run_20260828T095230_mean_diff_s1_+c1p4293579100903953/mean_diff.json,outputs/run_20260828T095230_mean_diff_s1_+c1p4293579100903953/moral_demos.jsonl,3.70225,2.2685,2.826,True,False
mean_diff,1,-C,0.3535533905932738,historical_bracket,outputs/run_20260821T223706_mean_diff_s1_c0p3535533905932738/mean_diff.json,outputs/run_20260821T223706_mean_diff_s1_c0p3535533905932738/moral_demos.jsonl,1.09225,0.153,0.7475,True,True
mean_diff,1,-C,0.3968502629920499,historical_bracket,outputs/run_20260821T223755_mean_diff_s1_c0p3968502629920499/mean_diff.json,outputs/run_20260821T223755_mean_diff_s1_c0p3968502629920499/moral_demos.jsonl,1.032,0.148,0.7655000000000001,True,True
mean_diff,1,-C,0.44544935907016964,historical_bracket,outputs/run_20260821T223846_mean_diff_s1_c0p44544935907016964/mean_diff.json,outputs/run_20260821T223846_mean_diff_s1_c0p44544935907016964/moral_demos.jsonl,1.32325,0.234,0.7215,True,True
mean_diff,1,-C,0.5,historical_bracket,outputs/run_20260821T223937_mean_diff_s1_c0p5/mean_diff.json,outputs/run_20260821T223937_mean_diff_s1_c0p5/moral_demos.jsonl,1.1645,0.22125,0.80275,True,True
