scenario,identity,call,sequence_length,position,nonfinal_exact,next_block_exact,operator,removal_fraction,coordinate_before,coordinate_after,desired_norm,actual_norm,norm_error,orthogonal_change_norm,rounding_error_norm,rounding_bound
syco_bullshit_v2_leg_pnf_01,False,46,1,0,True,True,projection_removal,1.0,0.2535213232040405,0.0007047178223729134,0.2535213232040405,0.25356027483940125,3.8951635360717773e-05,0.01940719597041607,0.019419990479946136,0.10388847440481186
syco_bullshit_v2_leg_pnf_01,False,47,1,0,True,True,projection_removal,1.0,0.1715669333934784,9.734835475683212e-05,0.1715669333934784,0.17244058847427368,0.0008736550807952881,0.018274741247296333,0.018275000154972076,0.09800518304109573
syco_bullshit_v2_leg_pnf_01,False,48,1,0,True,True,projection_removal,1.0,0.6325905323028564,-0.0002699207980185747,0.6325905323028564,0.6331546902656555,0.0005641579627990723,0.01929452084004879,0.01929641328752041,0.10486017167568207
syco_bullshit_v2_leg_pnf_01,False,49,1,0,True,True,projection_removal,1.0,0.6223353147506714,-0.0011474636849015951,0.6223353147506714,0.6237217783927917,0.0013864636421203613,0.017277909442782402,0.017315948382019997,0.09959091991186142
syco_bullshit_v2_leg_pnf_01,False,50,1,0,True,True,projection_removal,1.0,0.49453431367874146,0.000376921147108078,0.49453434348106384,0.4944794476032257,5.4895877838134766e-05,0.017849504947662354,0.01785348914563656,0.10086559504270554
syco_bullshit_v2_leg_pnf_01,False,51,1,0,True,True,projection_removal,1.0,0.8822153210639954,-0.0003363434225320816,0.8822153210639954,0.8828119039535522,0.0005965828895568848,0.02144315466284752,0.02144578844308853,0.10813533514738083
syco_bullshit_v2_leg_pnf_01,False,52,1,0,True,True,projection_removal,1.0,0.8266873359680176,0.00010994495823979378,0.8266873359680176,0.8268855214118958,0.00019818544387817383,0.022583873942494392,0.022584138438105583,0.10966087877750397
syco_bullshit_v2_leg_pnf_01,False,53,1,0,True,True,projection_removal,1.0,0.6580946445465088,0.0003404170274734497,0.6580946445465088,0.6579815149307251,0.0001131296157836914,0.01730739325284958,0.017310746014118195,0.09928938746452332
syco_bullshit_v2_leg_pnf_01,False,54,1,0,True,True,projection_removal,1.0,0.3072872757911682,0.0005748807452619076,0.3072872757911682,0.3071381747722626,0.00014910101890563965,0.01616170071065426,0.016171913594007492,0.0869399905204773
syco_bullshit_v2_leg_pnf_01,False,55,1,0,True,True,projection_removal,1.0,0.024671679362654686,0.0033645285293459892,0.024671679362654686,0.025377197191119194,0.0007055178284645081,0.0137843182310462,0.014188989996910095,0.09293672442436218
syco_bullshit_v2_leg_pnf_01,False,56,1,0,True,True,projection_removal,1.0,0.3139164447784424,0.000919585581868887,0.3139164447784424,0.3135436177253723,0.00037282705307006836,0.018506422638893127,0.018529249355196953,0.1040024608373642
syco_bullshit_v2_leg_pnf_01,False,57,1,0,True,True,projection_removal,1.0,0.5935428142547607,0.0004882821813225746,0.5935428142547607,0.5934792160987854,6.35981559753418e-05,0.022454489022493362,0.02245980314910412,0.10605199635028839
syco_bullshit_v2_leg_pnf_01,False,58,1,0,True,True,projection_removal,1.0,0.6626266837120056,-0.00035121385008096695,0.6626266837120056,0.6632702946662903,0.000643610954284668,0.01968379318714142,0.019686929881572723,0.09402643144130707
