scenario,condition,layer,changed_positions,positions,final_changed,final_patch_norm,patch_norm_mean,target_gap,final_coordinates_before,final_coordinates_after,final_gap_error,max_coordinate_sum_error
syco_bullshit_v2_sw_pnf_03,old_minus,15,0,69,False,0.0,0.0,-6.436792850494385,"[-1.3022302389144897, 0.6849219799041748]","[-1.3022302389144897, 0.6849219799041748]",4.44964075088501,0.0
syco_bullshit_v2_sw_pnf_03,old_minus,16,0,69,False,0.0,0.0,-7.42580771446228,"[-1.521169900894165, 0.8025147318840027]","[-1.521169900894165, 0.8025147318840027]",5.102123260498047,0.0
syco_bullshit_v2_sw_pnf_03,old_minus,17,0,69,False,0.0,0.0,-7.5542134046554565,"[-1.7602856159210205, 0.670604944229126]","[-1.7602856159210205, 0.670604944229126]",5.1233229637146,0.0
syco_bullshit_v2_sw_pnf_03,old_minus,18,15,69,False,0.0,0.05470794066786766,-8.385780811309814,"[-2.394162893295288, 0.7595444917678833]","[-2.394162893295288, 0.7595444917678833]",5.232072830200195,0.0036850571632385254
syco_bullshit_v2_sw_pnf_03,old_minus,19,0,69,False,0.0,0.0,-12.443769216537476,"[-4.525188446044922, 1.7066532373428345]","[-4.525188446044922, 1.7066532373428345]",6.211927890777588,0.0
syco_bullshit_v2_sw_pnf_03,old_minus,20,0,69,False,0.0,0.0,-12.97796106338501,"[-4.712978363037109, 2.3004212379455566]","[-4.712978363037109, 2.3004212379455566]",5.9645609855651855,0.0
syco_bullshit_v2_sw_pnf_03,old_minus,21,0,69,False,0.0,0.0,-14.799622058868408,"[-4.031649589538574, 2.850255250930786]","[-4.031649589538574, 2.850255250930786]",7.917716979980469,0.0
syco_bullshit_v2_sw_pnf_03,gap_plus,13,69,69,True,3.0307064056396484,2.353015184402466,4.556610018014908,"[-0.576717734336853, 0.9829767346382141]","[2.4813756942749023, -2.0755579471588135]",0.00032329559326171875,0.0032689571380615234
syco_bullshit_v2_sw_pnf_03,gap_plus,14,69,69,True,0.3923189043998718,0.27751100063323975,5.414298117160797,"[2.3549540042877197, -2.223679542541504]","[2.773056983947754, -2.64109206199646]",0.000148773193359375,0.0035935640335083008
syco_bullshit_v2_sw_pnf_03,gap_plus,15,69,69,True,1.4806621074676514,2.21873140335083,6.172635734081268,"[1.6151853799819946, -1.8548939228057861]","[2.965200185775757, -3.2072601318359375]",0.00017499923706054688,0.005528926849365234
syco_bullshit_v2_sw_pnf_03,gap_plus,16,69,69,True,0.8339599967002869,1.6066021919250488,7.123698949813843,"[2.7807068824768066, -2.9311411380767822]","[3.4891397953033447, -3.6357176303863525]",0.0011582374572753906,0.004581570625305176
syco_bullshit_v2_sw_pnf_03,gap_plus,17,69,69,True,1.2841869592666626,2.006612777709961,8.476953744888306,"[2.914273500442505, -3.4539263248443604]","[3.9672954082489014, -4.508854389190674]",0.0008039474487304688,0.008420944213867188
syco_bullshit_v2_sw_pnf_03,gap_plus,18,69,69,True,0.2395806610584259,0.8625566959381104,9.429186582565308,"[4.031975746154785, -5.020166397094727]","[4.220505237579346, -5.208313941955566]",0.00036716461181640625,0.004899263381958008
syco_bullshit_v2_sw_pnf_03,gap_plus,19,69,69,True,0.36287984251976013,1.5314582586288452,8.398379564285278,"[3.2653136253356934, -4.56241512298584]","[3.5512285232543945, -4.847085952758789]",6.4849853515625e-05,0.005855083465576172
syco_bullshit_v2_sw_pnf_03,gap_plus,20,69,69,True,0.7499107718467712,2.141845703125,10.019581198692322,"[3.8916215896606445, -4.979234218597412]","[4.468790054321289, -5.554234027862549]",0.0034427642822265625,0.0051021575927734375
syco_bullshit_v2_sw_pnf_03,gap_plus,21,69,69,True,0.6173624396324158,2.047353982925415,11.533475756645203,"[5.159454345703125, -5.430028915405273]","[5.631424903869629, -5.901183605194092]",0.0008678436279296875,0.0028595924377441406
syco_bullshit_v2_sw_pnf_03,gap_minus,13,69,69,True,1.554128885269165,2.232008695602417,-4.69693386554718,"[-0.576717734336853, 0.9829767346382141]","[-2.145886182785034, 2.5502424240112305]",0.000804901123046875,0.0034938454627990723
syco_bullshit_v2_sw_pnf_03,gap_minus,14,69,69,True,0.10318640619516373,0.6391576528549194,-3.869912028312683,"[-1.761704444885254, 1.8899691104888916]","[-1.8711994886398315, 1.998134970664978]",0.0005776882171630859,0.002972126007080078
syco_bullshit_v2_sw_pnf_03,gap_minus,15,69,69,True,1.108263611793518,1.49457585811615,-6.436792850494385,"[-2.4673125743865967, 1.9479761123657227]","[-3.4796972274780273, 2.9581799507141113]",0.0010843276977539062,0.006364583969116211
syco_bullshit_v2_sw_pnf_03,gap_minus,16,69,69,True,0.8058453798294067,1.15530526638031,-7.42580771446228,"[-3.2109761238098145, 2.8481650352478027]","[-3.893035650253296, 3.5313961505889893]",0.0013761520385742188,0.0053937435150146484
syco_bullshit_v2_sw_pnf_03,gap_minus,17,69,69,True,0.40760549902915955,1.0868340730667114,-7.5542134046554565,"[-3.6108083724975586, 3.2756612300872803]","[-3.9451334476470947, 3.609689474105835]",0.0006093978881835938,0.005713701248168945
syco_bullshit_v2_sw_pnf_03,gap_minus,18,69,69,True,0.05617793649435043,1.8777981996536255,-8.385780811309814,"[-4.233287811279297, 4.06884765625]","[-4.2742156982421875, 4.110522747039795]",0.001041412353515625,0.007999420166015625
syco_bullshit_v2_sw_pnf_03,gap_minus,19,69,69,True,0.538935124874115,2.024080991744995,-12.443769216537476,"[-6.466560363769531, 5.12867546081543]","[-6.891879558563232, 5.551260471343994]",0.000629425048828125,0.007373809814453125
syco_bullshit_v2_sw_pnf_03,gap_minus,20,69,69,True,0.4025748372077942,1.5964888334274292,-12.97796106338501,"[-6.442256927490234, 5.919809341430664]","[-6.7511515617370605, 6.228250026702881]",0.0014410018920898438,0.007439613342285156
syco_bullshit_v2_sw_pnf_03,gap_minus,21,69,69,True,1.551472783088684,1.9929426908493042,-14.799622058868408,"[-5.7297515869140625, 6.700350284576416]","[-6.915658950805664, 7.886836528778076]",0.0028743743896484375,0.006091117858886719
