scenario,condition,layer,distance_to_bare,distance_to_donor,donor_bare_distance,donor_delta_coefficient,coordinates
syco_bullshit_v2_leg_pnf_01,projected_minus,21,2.4363064765930176,19.567914962768555,19.443693161010742,0.0014409039868041873,"[-2.764350414276123, 2.5605154037475586]"
syco_bullshit_v2_leg_pnf_01,projected_minus,22,2.594085454940796,22.06889533996582,21.934947967529297,0.0008678849553689361,
syco_bullshit_v2_leg_pnf_01,projected_minus,23,2.7748968601226807,24.54684829711914,24.339872360229492,-0.002040957100689411,
syco_bullshit_v2_leg_pnf_01,projected_minus,24,3.102550745010376,27.177310943603516,26.84679412841797,-0.005709442775696516,
syco_bullshit_v2_leg_pnf_01,projected_minus,25,3.274744987487793,29.167739868164062,28.68246078491211,-0.010544398799538612,
syco_bullshit_v2_leg_pnf_01,projected_minus,26,3.589531183242798,30.404891967773438,29.758405685424805,-0.014685667119920254,
syco_bullshit_v2_leg_pnf_01,projected_minus,27,3.81760573387146,35.004127502441406,34.50670623779297,-0.008399253711104393,
syco_bullshit_v2_leg_pnf_01,projected_minus,28,3.9875173568725586,39.2584342956543,38.610389709472656,-0.011592091992497444,
syco_bullshit_v2_leg_pnf_01,projected_minus,29,4.413269996643066,42.85568618774414,42.21786117553711,-0.009758150205016136,
syco_bullshit_v2_leg_pnf_01,projected_minus,30,4.758685111999512,47.44770812988281,46.564292907714844,-0.013929910957813263,
syco_bullshit_v2_leg_pnf_01,projected_minus,31,5.298137664794922,53.29289627075195,52.486629486083984,-0.010384717956185341,
syco_bullshit_v2_leg_pnf_01,gap_minus,17,3.7885079383850098,6.782898426055908,6.794172763824463,0.15712329745292664,"[-4.160634517669678, 3.391317367553711]"
syco_bullshit_v2_leg_pnf_01,gap_minus,18,3.614243268966675,9.92647933959961,10.138279914855957,0.0842171385884285,"[-3.6259498596191406, 2.349766492843628]"
syco_bullshit_v2_leg_pnf_01,gap_minus,19,3.4652063846588135,15.81625747680664,15.687200546264648,0.0161362923681736,"[-4.518161773681641, 2.2422752380371094]"
syco_bullshit_v2_leg_pnf_01,gap_minus,20,3.4208385944366455,16.88433265686035,16.75885581970215,0.013317526318132877,"[-3.9974467754364014, 2.3237979412078857]"
syco_bullshit_v2_leg_pnf_01,gap_minus,21,3.5609538555145264,19.63191032409668,19.443693161010742,0.007043447811156511,"[-3.7573299407958984, 2.8114233016967773]"
syco_bullshit_v2_leg_pnf_01,gap_minus,22,3.7146239280700684,22.09086036682129,21.934947967529297,0.007205951027572155,
syco_bullshit_v2_leg_pnf_01,gap_minus,23,3.981671094894409,24.63107681274414,24.339872360229492,0.0013445003423839808,
syco_bullshit_v2_leg_pnf_01,gap_minus,24,4.480474472045898,27.155994415283203,26.84679412841797,0.002342535648494959,
syco_bullshit_v2_leg_pnf_01,gap_minus,25,4.902835845947266,29.19810676574707,28.68246078491211,-0.00352987227961421,
syco_bullshit_v2_leg_pnf_01,gap_minus,26,5.393066883087158,30.5777645111084,29.758405685424805,-0.011490879580378532,
syco_bullshit_v2_leg_pnf_01,gap_minus,27,5.954327583312988,35.011165618896484,34.50670623779297,0.00016171412426047027,
syco_bullshit_v2_leg_pnf_01,gap_minus,28,6.239504814147949,39.330257415771484,38.610389709472656,-0.005760635249316692,
syco_bullshit_v2_leg_pnf_01,gap_minus,29,7.128134250640869,43.008087158203125,42.21786117553711,-0.004639141261577606,
syco_bullshit_v2_leg_pnf_01,gap_minus,30,7.9169464111328125,47.863399505615234,46.564292907714844,-0.013834682293236256,
syco_bullshit_v2_leg_pnf_01,gap_minus,31,8.806953430175781,53.84834671020508,52.486629486083984,-0.012203020974993706,
syco_bullshit_v2_sw_pnf_02,bare,17,0.0,5.5855255126953125,5.5855255126953125,0.0,"[-1.484957218170166, 0.5203645825386047]"
syco_bullshit_v2_sw_pnf_02,bare,18,0.0,6.872130870819092,6.872130870819092,0.0,"[-2.2199957370758057, 0.5467122793197632]"
syco_bullshit_v2_sw_pnf_02,bare,19,0.0,9.98208236694336,9.98208236694336,0.0,"[-4.012273788452148, 1.6765388250350952]"
